Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
17 May 2020,5049,95698,2538,36795,152,3024
18 May 2020,4628,100326,2482,39277,131,3155
19 May 2020,6154,106480,3032,42309,146,3301
20 May 2020,5720,112200,3113,45422,134,3435
21 May 2020,6023,118223,3131,48553,148,3583
22 May 2020,6536,124759,3280,51833,142,3725
23 May 2020,6667,131424,2576,54409,142,3867
24 May 2020,7111,138537,3285,57694,156,4023
25 May 2020,6414,144951,3012,60706,150,4173
26 May 2020,5907,150858,3585,64291,173,4346
27 May 2020,7246,158104,3434,67725,188,4534
28 May 2020,7254,165358,3171,70896,176,4710
29 May 2020,8138,173496,11735,82631,269,4979
30 May 2020,8364,181860,4303,86934,205,5184
31 May 2020,8789,190649,4928,91862,222,5406
01 June 2020,7723,198372,3882,95744,201,5607
02 June 2020,8815,207187,4531,100275,222,5829
03 June 2020,9689,216876,3789,104064,259,6088
04 June 2020,9847,226723,4390,108454,274,6362
05 June 2020,9472,236195,4770,113224,286,6648
06 June 2020,10408,246603,5433,118657,297,6945
07 June 2020,10882,257485,5191,123848,261,7206
08 June 2020,8536,266021,5171,129019,271,7477
09 June 2020,9981,276002,5634,134653,272,7749
10 June 2020,11156,287158,6275,140928,358,8107
11 June 2020,11128,298286,6044,146972,394,8501
