Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Deaths/1M pop,Total Test,Tests/1M pop
Greece,3310,0,190 ,0,1374,0,1746,8,318,18,295639
Thailand,3158,1,58 ,0,3038,12,62,1,45,0.8,468175
CAR,3099,0,38 ,0,572,0,2489,2,642,8,22267
Somalia,2835,0,90 ,0,829,0,1916,2,179,6,0
French Guiana,2827,0,9 ,0,1056,0,1762,15,9472,30,8061
Costa Rica,2515,0,12 ,0,1210,0,1293,5,494,2,36765
Mayotte,2467,0,32 ,0,2218,0,217,8,9048,117,8800
Croatia,2388,0,107 ,0,2145,0,136,0,582,26,73738
Cuba,2319,0,85 ,0,2130,0,104,1,205,8,157387
Maldives,2261,0,8 ,0,1839,0,414,9,4184,15,42830
Nicaragua,2170,0,74 ,0,1238,0,858,0,328,11,0
Albania,2114,0,47 ,0,1217,0,850,11,735,16,21437
Mali,2005,0,112 ,0,1354,0,539,0,99,6,10932
Sri Lanka,2001,0,11 ,0,1602,40,388,1,93,0.5,97402
Estonia,1984,1,69 ,0,1790,7,125,1,1496,52,104000
South Sudan,1942,0,36 ,0,224,0,1682,1,174,3,10226
Iceland,1824,0,10 ,0,1806,0,8,0,5346,29,70072
Lithuania,1806,2,78 ,0,1494,10,234,16,663,29,406557
Madagascar,1787,0,16 ,0,779,0,992,8,65,0.6,19392
Equatorial Guinea,1664,0,32 ,0,515,0,1117,0,1187,23,16000
Lebanon,1644,0,33 ,0,1103,0,508,9,241,5,120315
Slovakia,1630,23,28 ,0,1452,4,150,0,299,5,204847
Guinea-Bissau,1556,0,19 ,0,191,0,1346,5,791,10,1500
Slovenia,1541,0,109 ,0,1376,0,56,2,741,52,96755
Paraguay,1528,0,13 ,0,944,0,571,1,214,2,60811
New Zealand,1519,3,22  ,0,1484,1,13,0,304,4,368432
Zambia,1489,0,18 ,0,1223,0,248,1,81,1.0,51626
Sierra Leone,1354,0,55 ,0,869,0,430,0,170,7,0
Palestine,1328,0,3 ,0,442,0,883,0,260,0.6,77631
Hong Kong,1180,0,6 ,0,1086,0,88,1,157,0.8,301108
Tunisia,1160,0,50 ,0,1023,0,87,0,98,4,68104
Latvia,1111,0,30 ,0,903,0,178,1,589,16,142794
Congo,1087,0,37 ,0,456,0,594,0,197,7,0
Jordan,1071,0,9 ,0,782,0,280,3,105,0.9,348679
Niger,1051,0,67 ,0,913,0,71,0,43,3,6436
Yemen,1015,0,274 ,0,379,0,362,0,34,9,120
Cabo Verde,999,0,8 ,0,479,0,512,0,1797,14,1560
Cyprus,991,0,19 ,0,824,0,148,0,821,16,150871
Malawi,941,0,11 ,0,259,0,671,4,49,0.6,11536
Burkina Faso,919,0,53 ,0,825,0,41,0,44,3,0
Georgia,917,3,14 ,0,776,5,127,5,230,4,90434
Uruguay,902,0,26 ,0,815,0,61,2,260,7,60318
Benin,902,0,13 ,0,277,0,612,2,74,1,54653
Chad,860,0,74 ,0,770,0,16,0,52,5,0
Andorra,855,0,52 ,0,797,0,6,1,11066,673,3750
Rwanda,830,0,2 ,0,376,0,452,0,64,0.2,121527
Uganda,805,0,0,0,717,0,88,0,18,0,170789
Mozambique,762,0,5 ,0,220,0,537,0,24,0.2,25446
Diamond Princess,712,0,13 ,0,651,0,48,4,0,0,0
Sao Tome and Principe,710,0,13 ,0,211,0,486,0,3241,59,1743
San Marino,698,0,42 ,0,647,0,9,0,20572,1238,5631
Eswatini,690,0,7 ,0,331,0,352,5,595,6,6551
Jamaica,678,8,10 ,0,521,3,147,0,229,3,22261
Libya,670,0,18 ,0,138,0,514,0,98,3,23075
Malta,665,0,9 ,0,624,0,32,0,1506,20,90544
Liberia,662,0,34 ,0,270,0,358,0,131,7,0
Togo,583,0,14 ,0,392,0,177,2,70,2,28687
Channel Islands,571,0,47 ,0,512,0,12,0,3285,270,10255
Zimbabwe,530,0,6 ,0,123,0,401,0,36,0.4,64520
Tanzania,509,0,21 ,0,183,0,305,7,9,0.4,0
Réunion,508,0,1 ,0,460,0,47,2,567,1,17200
Taiwan,447,1,7 ,0,435,0,5,0,19,0.3,75815
Montenegro,389,0,9 ,0,315,0,65,0,619,14,13186
Suriname,357,0,10 ,1,154,0,193,2,609,17,1165
Vietnam,352,0,0,0,329,0,23,1,4,0,275000
Mauritius,341,0,10 ,0,326,0,5,0,268,8,171792
Isle of Man,336,0,24 ,0,312,0,0,0,3952,282,6158
Myanmar,293,0,6 ,0,208,0,79,0,5,0.1,66353
Comoros,265,0,7 ,0,159,0,99,0,305,8,0
Syria,242,11,7 ,0,96,2,139,0,14,0.4,0
Martinique,236,0,14 ,0,98,0,124,0,629,37,0
Mongolia,216,1,0,0,169,1,47,6,66,0,21308
Guyana,209,0,12 ,0,107,0,90,1,266,15,2168
Angola,197,0,10 ,0,77,0,110,1,6,0.3,10000
Cayman Islands,196,0,1 ,0,169,0,26,0,2983,15,21733
Faeroe Islands,187,0,0,0,187,0,0,0,3827,0,12438
Gibraltar,176,0,0,0,176,0,0,0,5224,0,11618
Guadeloupe,174,0,14 ,0,157,0,3,0,435,35,6900
Bermuda,146,0,9 ,0,132,0,5,2,2344,145,10414
Burundi,144,0,1 ,0,93,0,50,0,12,0.08,382
Eritrea,144,0,0,0,39,0,105,0,41,0,0
Brunei,141,0,3 ,0,138,0,0,0,322,7,27385
Cambodia,130,0,0,0,127,0,3,1,8,0,33211
Trinidad and Tobago,123,0,8 ,0,109,0,6,0,88,6,4396
Bahamas,104,0,11 ,0,83,0,10,1,265,28,2360
Monaco,102,0,4 ,0,95,0,3,0,2600,102,16200
Aruba,101,0,3 ,0,98,0,0,0,946,28,2284
Barbados,97,0,7 ,0,85,0,5,1,338,24,7530
Botswana,92,0,1 ,0,25,0,66,1,39,0.4,36868
Liechtenstein,82,0,1 ,0,81,0,0,0,2151,26,900
Sint Maarten,77,0,15 ,0,62,0,0,0,1796,350,477
Namibia,76,0,0,0,21,0,55,1,30,0,7740
Bhutan,70,0,0,0,34,0,36,0,91,0,23857
Antigua and Barbuda,65,0,3 ,0,22,0,40,1,664,31,680
French Polynesia,60,0,0,0,60,0,0,0,214,0,4578
Macao,45,0,0,0,45,0,0,0,69,0,0
Saint Martin,42,0,3 ,0,36,0,3,1,1087,78,685
Gambia,42,0,2 ,0,26,0,14,0,17,0.8,2035
St. Vincent Grenadines,29,0,0,0,27,0,2,0,261,0,763
Timor-Leste,24,0,0,0,24,0,0,0,18,0,1568
Belize,23,0,2  ,0,17,0,4,0,58,5,2043
Curaçao,23,0,1 ,0,19,0,3,0,140,6,1080
Grenada,23,0,0,0,23,0,0,0,204,0,4130
New Caledonia,21,0,0,0,21,0,0,0,74,0,8260
Laos,19,0,0,0,19,0,0,0,3,0,13507
Saint Lucia,19,0,0,0,19,1,0,0,103,0,1619
Dominica,18,0,0,0,18,0,0,0,250,0,623
Fiji,18,0,0,0,18,0,0,0,20,0,4000
Lesotho,17,0,0,0,2,0,15,0,8,0,3000
Turks and Caicos,15,1,1 ,0,11,0,3,0,388,26,444
Saint Kitts and Nevis,15,0,0,0,15,0,0,0,282,0,447
Falkland Islands,13,0,0,0,13,0,0,0,3739,0,1027
Greenland,13,0,0,0,13,0,0,0,229,0,3203
Vatican City,12,0,0,0,12,0,0,0,14981,0,0
Montserrat,11,0,1 ,0,10,0,0,0,2204,200,61
Seychelles,11,0,0,0,11,0,0,0,112,0,0
Western Sahara,10,0,1 ,0,8,0,1,0,17,2,0
Papua New Guinea,10,0,0,0,8,0,2,0,1,0,5281
MS Zaandam,9,0,2 ,0,0,0,7,0,0,0,0
British Virgin Islands,8,0,1 ,0,7,0,0,0,265,33,212
Caribbean Netherlands,7,0,0,0,7,0,0,0,267,0,424
St. Barth,6,0,0,0,6,0,0,0,607,0,152
Anguilla,3,0,0,0,3,0,0,0,200,0,93
Saint Pierre Miquelon,1,0,0,0,1,0,0,0,173,0,0
China,83449,19,4634 ,0,78443,15,372,13,58,3,0
